scene,frame_index,n_models,signal_var,signal_std,signal_endpoint_var,loss_mean,loss_ensmean,fail_top05,fail_top10,fail_top15,fail_top20,within_scene_pct,fail_within_scene
scene-0079,22,13,3.4386786461252274,1.8543674517541628,11.322370532174325,1.9494892608841532,1.7359743659224869,0,0,0,0,0.92,1
scene-0079,23,13,7.3309021565393495,2.7075638785704297,23.69634991626946,2.1935570057260323,1.7962546893875573,0,0,0,1,1.0,1
scene-0079,24,13,2.7111057371539524,1.6465435728075806,8.741340784054586,1.4523514635233636,1.1529620858132583,0,0,0,0,0.68,0
scene-0079,25,13,7.629133028953068,2.7620885266321693,25.36605071997943,2.1843843783373185,1.7041562686350835,0,0,0,1,0.96,1
scene-0080,0,13,6.131584325687498,2.4762036115165285,19.655527852165573,1.126247751473811,0.5496343592114957,0,0,0,0,0.6666666666666666,0
scene-0080,1,13,0.8376830810579969,0.9152502832875808,2.644144048074862,0.823244038266749,0.646563531702431,0,0,0,0,0.5833333333333334,0
scene-0080,2,13,0.10615936362287236,0.3258210607417396,0.3952867661077261,0.6070125691509232,0.5769063155655374,0,0,0,0,0.2916666666666667,0
scene-0080,3,13,0.2076254825762364,0.4556593931614231,0.6980137395799837,0.6998420957296929,0.6715301453370334,0,0,0,0,0.375,0
scene-0080,4,13,0.12574726440403014,0.35460860734622635,0.39785594440973604,0.6043828015968272,0.5617198148155647,0,0,0,0,0.25,0
scene-0080,5,13,0.40129019630066365,0.6334747006003189,1.0833049695827635,0.517697104751371,0.13900457513677503,0,0,0,0,0.16666666666666666,0
scene-0080,6,13,2.014388119576965,1.4192914146069386,6.2244651241213145,0.7845344687967266,0.4693367507566424,0,0,0,0,0.5416666666666666,0
scene-0080,7,13,1.4067298206227032,1.1860564154468805,4.472706406197411,0.506451515270567,0.352627758950437,0,0,0,0,0.125,0
scene-0080,8,13,0.2623857704361473,0.5122360495280933,0.8030077227411108,0.3771138883508246,0.3051439252790949,0,0,0,0,0.041666666666666664,0
